1.1.,1.1.,1.1.,1.1.
1.2.,1.2.,1.2.,1.2.
1.3.,1.3.,1.3.,1.3.
1.4.,1.4.,1.4.,1.4.
1.5.,1.5.,1.5.,1.5.
1.6.,1.6.,1.6.,1.6.
1.7.,1.7.,1.7.,1.7.
1.8.,1.8.,1.8.,1.8.
1.9.,1.9.,1.9.,1.9.
1.10.,1.10.,1.10.,X
1.11.,1.11.,1.11.,1.10.
2.1.,2.1.,2.1.,2.1.
2.2.,2.2.,2.2.,2.2.
2.3.,2.3.,2.3.,2.3.
2.4.,2.4.,2.4.,2.4.
3.1.,3.1.,3.1.,3.1.
3.2.,3.2.,3.2.,X
3.3.,3.3.,X,X
3.4.,3.4.,3.3.,3.2.
3.5.,3.5.,3.4.,3.3.
3.6.,3.6.,3.5.,3.4.
3.7.,3.7.,3.6.,3.5.
3.8.,3.8.,X,3.6.
3.9.,3.9.,X,3.7.
4.1.,4.1.,X,X
4.2.,4.2.,4.1.,4.1.
4.3.,4.3.,X,X
4.4.,4.4.,4.2.,4.2.
5.1.,5.1.,5.1.,5.1.
5.2.,5.2.,5.2.,X
5.3.,5.3.,X,5.2.
6.1.,6.1.,6.1.,6.1.
6.2.,6.2.,6.2.,6.2.
6.3.,6.3.,6.3.,6.3.
6.4.,6.4.,6.4.,6.4.
7.1.,7.1.,7.1.,7.1.
7.2.,7.2.,7.2.,7.2.
8.1.,8.1.,8.1.,8.1.
8.2.,8.2.,8.2.,8.2.
8.3.,8.3.,8.3.,8.3.
9.1.,9.1.,9.1.,9.1.
9.2.,9.2.,9.2.,9.2.
9.3.,9.3.,9.3.,X
10.1.,10.1.,10.1.,X
10.2.,10.2.,10.2.,10.1.
10.3.,10.3.,10.3.,10.2.
